name,lat,lon,rating,user_ratings_total,type_list,type_main,address,categoria,place_id,distance_km
Casa Museu Can Marquès,39.5683757,2.6500313,4.7,3.0,"['museum', 'point_of_interest', 'establishment']",Museum,"Carrer de Can Anglada, 2A, Palma",Atracción,PLACE_209,0.13616238267224148
Museu Pau Lluís Fornés,39.5679975,2.6504578,,,"['museum', 'point_of_interest', 'establishment']",Museum,"Carrer d'En Morei, 10, Palma",Atracción,PLACE_210,0.18245947471107588
Call Jueu (Jewish Quarter),39.5682129,2.6515244,3.8,39.0,"['museum', 'point_of_interest', 'establishment']",Museum,"Carrer del Call, 19, Palma",Atracción,PLACE_211,0.20214554540992713
Fantasy Museum,39.57156919999999,2.6512604,4.4,296.0,"['museum', 'point_of_interest', 'establishment']",Museum,"Plaça Major, 3, Palma",Atracción,PLACE_212,0.244165716171798
Arte Temporanea,39.569949,2.646942499999999,4.5,4.0,"['museum', 'point_of_interest', 'establishment']",Museum,"Passeig del Born, 6, Palma",Atracción,PLACE_213,0.2649298595084518
Kulturzentrum Palma,39.57169219999999,2.6476962,5.0,6.0,"['museum', 'point_of_interest', 'establishment']",Museum,"Carrer Unió, 3, Palma",Atracción,PLACE_214,0.3051481637073037
Museu Marítim de Mallorca,39.5666355,2.6486024,4.7,20.0,"['museum', 'point_of_interest', 'establishment']",Museum,"Plaça de Ses Voltes, Palma",Atracción,PLACE_215,0.35073099631671245
Caputxines 17 Palma,39.572957,2.6491566,4.0,1.0,"['museum', 'point_of_interest', 'establishment']",Museum,"Carrer de les Caputxines, 17, Palma",Atracción,PLACE_216,0.3802168268938197
Museo bíblico,39.5669011,2.65385,4.0,1.0,"['museum', 'point_of_interest', 'establishment']",Museum,"Carrer del Seminari, 4, 2n, Palma",Atracción,PLACE_217,0.44605811573121
Església de Sant Felip Neri,39.5728303,2.6533746,4.5,103.0,"['museum', 'church', 'place_of_worship', 'point_of_interest', 'establishment']",Museum,"Carrer de Sant Felip Neri, 1, Palma",Atracción,PLACE_218,0.46117567548507465
Dama misteriosa,39.57059700000001,2.644245,,,"['museum', 'point_of_interest', 'establishment']",Museum,"Carrer del Vi, 6, Palma",Atracción,PLACE_219,0.5055889790768091
Monument a Antoni Despuig,39.5740261,2.6480901,3.0,1.0,"['museum', 'point_of_interest', 'establishment']",Museum,"Plaça de Santa Magdalena, 4, Palma",Atracción,PLACE_220,0.518670876287603
Plaça dels Patins,39.5758672,2.6492755,4.2,53.0,"['park', 'point_of_interest', 'establishment']",Park,"Carrer de la Reina Esclaramunda, 15, Palma",Atracción,PLACE_221,0.699642062058592
Parc de Sa Riera,39.5833544,2.6411001,4.3,1837.0,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",Park,"Carrer de Jesús, 27A, Palma",Atracción,PLACE_222,1.7090795484891137
"Cocinas Domenech, actuales en puertas, armarios a medida, parqué, persiana mallorquina",39.5811627,2.6756172,4.4,13.0,"['furniture_store', 'home_goods_store', 'park', 'point_of_interest', 'store', 'establishment']",Park,"Carrer Mare de Déu de Montserrat, 55, Palma",Atracción,PLACE_223,2.5443408500326337
Jardí de Trames,39.567494,2.645970799999999,4.6,34.0,"['park', 'point_of_interest', 'establishment']",Park,"Avinguda d'Antoni Maura, 1, Palma",Atracción,PLACE_224,0.4172734205505634
Mallorca Fastenwandern,39.582808,2.6631798,5.0,5.0,"['park', 'point_of_interest', 'establishment']",Park,"Carrer Jordi Andreu Alcover, 16, Palma",Atracción,PLACE_225,1.852823888374102
Art Funerari,39.5834795,2.6336217,4.9,185.0,"['home_goods_store', 'park', 'point_of_interest', 'store', 'establishment']",Park,"Carrer dels Ocells, 36, bajos, Palma",Atracción,PLACE_226,2.0862170176062267
Parque de Convivencia Son Dameto Clavijo d'Alt,39.5860174,2.6248978,4.3,658.0,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",Park,"Carrer d'Andalusia, 14, Palma",Atracción,PLACE_227,2.8215202575280913
Parc de Sa Feixina,39.5707218,2.640263999999999,4.4,4757.0,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",Park,"Avinguda de l'Argentina, s/n, Palma",Atracción,PLACE_228,0.8437832574642872
Wifi Park,39.57086199999999,2.666287,3.6,816.0,"['park', 'point_of_interest', 'establishment']",Park,"Carrer de Manacor, 66, Palma",Atracción,PLACE_229,1.4030587014141827
Parc de ses Estacions,39.57804369999999,2.6571715,4.0,4395.0,"['park', 'point_of_interest', 'establishment']",Park,Palma,Atracción,PLACE_230,1.12220366417438
Buraco Mallorca,39.5696005,2.6501603,,,"['park', 'point_of_interest', 'establishment']",Park,Palma,Atracción,PLACE_231,0.013740188152634149
Raxa,39.5696005,2.6501603,5.0,1.0,"['park', 'point_of_interest', 'establishment']",Park,Palma,Atracción,PLACE_232,0.013740188152634149
Palma,39.5696005,2.6501603,,,"['park', 'point_of_interest', 'establishment']",Park,Palma,Atracción,PLACE_233,0.013740188152634149
Palma di Maiorca,39.5696005,2.6501603,4.8,49.0,"['park', 'point_of_interest', 'establishment']",Park,Palma,Atracción,PLACE_234,0.013740188152634149
Deutsch Drahthaar Hirsch,39.5696005,2.6501603,,,"['park', 'point_of_interest', 'establishment']",Park,Palma,Atracción,PLACE_235,0.013740188152634149
